Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Selfteikenstellingsbenadering / Selfteikenbenadering,                Social conditions / Personal services                       ,An approach whereby only registered indigent households receive free basic services from the municipality.,Self-targeting approach,Indlela yokuqothelwa kwamakhaya atlhagako,indlela yokujolisa ngqo iinkonzo kwabangathathintweni,Indlela yokuxhasa abampofu,Mokgwa wa boitšhupo,Boingodiso ba bohloki/bofuma,Mokgwaitoto,Lusabalaliso lwetinsitamahhala kulaba bhalise kumasipalati,Ndila ine mita I shayaho ya wana tshumelo dza masipala dza mahala,Endlelo ro pfuna lava tsariseke
Maatskaplike voordeel,                Social conditions / Personal services                       ,Transfers in cash or in kind to protect the entire population or a specific segment of it against certain social risks.,Social benefits,Iimbonelelo zehlalakuhle,izibonelelo ezixhanyulwa luluntu,Imihlomulo yezenhlalakahle,Diputseletšo / Dikholo tša leago,Dithuso setjhabeng,Ditshiameloloago,Lusitomali lwetenhlalakahle,Mbuelo dza matshilisano,Mivuyelo ya vanhu
Maatskaplike verligting,                Social conditions / Personal services                       ,A temporary and immediate provision of material assistance to a person who has lost his / her possessions through a natural disaster.,Social relief,Isizo lesikhatjhana lehlalakuhle,uncedo lwethutyana kuluntu,Usizo lwezenhlalakahle,Kimollo ya leago,Ho imollwa ha setjhaba,Namolaloago / Kimolololoago,Lusito loluphutfumako emmangweni / emphakatsini,Thuso ya ndiliso / Thuso ya matshilisano,Mphalalo wa vanhu
Tydelike ongeskiktheidstoelaag / Tydelike gestremdheidstoelaag,                Social conditions / Personal services                       ,"A government grant received when the disability will continue for a period of not less than six months, and not more than twelve months.",Temporary disability grant,Isibonelelo sabakhubazekileko sesikhatjhana,isibonelelo-mali sethutyana sababandezeleke ngokwamalungu omzimba,"Isibonelelomali sesikhashana sabakhubazekile / Uxhasomali lwesikhashana lwabakhubazekile
",Mphiwafela / Motlaodutše wa bogolofadi bja nakwana,Neelo/nehelo/ditsiane/krante ya nakwana ya boqhwala/kgolofalo,"Ketleetsonakwanabogole / Thusotlolenakwanabogole / Madiketleetsonakwanabogole / Kabelonakwanabogole
",Sabelo / Sibonelelo sesikhashana salabakhubatekile,"Gavhelo ḽa vhuholefhali ha tshifhinganyana / Mphomali ya vhuholefhali ha tshifhinganyana
",Malimpfuneto ya vutsoniwa bya nkarhinyana
Oorlogsveteraantoelaag,                Social conditions / Personal services                    ,"A grant received by persons 60 years or older; who served the country in one of the officially listed wars, and who are unable to maintain themselves due to physical / mental disability.",War veterans' grant,Isibonelelo sabomakekere / Sabomakadebona bepi,isibonelelo-mali samagqala emfazwe,Isibonelelomali sezigagayi zempi / Uxhasomali lwezigagayi zempi,Mphiwafela / Motlaodutše wa bagale ba ntwa,Neelo/nehelo/ditsiane/krante ya mekaubere ya ntwa,"Thusotlole ya bagaka ba ntwa / Madiketleetso a bagaka ba ntwa / Kabelo ya bagaka ba ntwa
",Sabelo / Sibonelelo sabomabuyaemphini,Gavhelo ḽa maswole a kale / Mphomali ya maswole a kale,Malimpfuneto ya khale ka masocha
Aanvaarbare statistieke,                Social conditions / Personal services                    ,"Statistics which meet most, but not all, the quality requirements as stipulated by Stats SA and are such that despite their limitations, deductions can be made and they can therefore be utilised.",Acceptable statistics,Iimbalobalo ezamukelekako,Iinkcukacha-manani ezamkelekileyo,Izibalo ezamukelekile,Dipalopalo tše di amogelegago,Dipalopalo tse amohelehang,Dipalopalo tse di amogelesegang,Lubalo lolwemukelekako,Mbalombalo-/zwitatistikaṱhanganadzea,Tinhlayohlayo leti amukelekaka
Toeganklikheid,                Social conditions / Personal services                    ,"Cost associated with the collection and production of a statistical product, and the burden on respondents.",Accessibility,Ukutholakala / Ukufumaneka,ufikeleleko / iindleko zokubala,Izindleko zokubala,Phihlelelo,Phihlello / Ho fihlelleha,Phitlhelego,Tindleko telubalo,Tswikelelo,Mfikeleleko
Akkuraatheid / Noukeurigheid,                Social conditions / Personal services                    ,Closeness of computations or estimates to the exact or true values that the statistics were intended to measure.,Accuracy,Ukunemba,ukuchaneka,Ukunemba / Ukushaya emhlolweni,Nepagalo,Nepahalo,Nepagalo,Silinganiso lesicishe sishaye khona selubalo,Vhukokotolo,Nkhaqato / Nkahoxeko
Aktiewe metadata,                Social conditions / Personal services                    ,"Metadata, which are physically integrated with the information system containing the data that the metadata inform about.",Active metadata,Imininingwanahlathululo ethukululako,Uhlalutyo-nkcukacha olunokusebenziseka,Incazelo yemininingo esebenzisekayo,"Tshedimošokakaretšo ya dintlhakgoboketšwa ya mahlahla/methateitha wa mahlahla
",Tlhakisetso e sebetsang ya dintlha,Tlhalosodinewa e e dirang,Imethadatha lephilako,"ṱhalutshedzazwidodombedzwa tshumisea / ṱhalutshedzadata tshumisea / metadata tshumisea
",Metadatara ya nghingiriko
Aanpassing vir statistiese doeleindes,                Social conditions / Personal services                    ,"A set of procedures employed to improve coverage, classification, timing or valuation of the data, conform to an accounting or recording basis, or address data quality differences in compiling specific datasets.",Adjustment for statistical purposes,Ukuhlalisela iimbalobalo,Uhlengahlengiso lweenjongo zeenkcukacha-manani,Ukulinganisa/ ukuchibiyela ngenhloso yokubala,Peakanyoleswa ya dinepo tša dipalopalo,Tukiso mererong ya dipalopalo,Tolamisetso ya dipalopalo,Kuntjintja ngenhloso yetelubalo,Nzudzanyululo ya ndivho dza zwa mbalombalo/zwitatistika,Ndzulamiso hi xikongomelo xa swa tinhlayohlayo
Geadministreerde item,                Social conditions / Personal services                    ,Registry item for which administrative information is recorded in an administration record.,Administered item,I-ayithemu elawulwako,"into egcinwe kuvimba weenkcukacha zolawulo, ulwazi olurekhodiweyo",Ulwazi oluqoshiwe,Sedirišwa sa go laolwa,Thepa e ngodisitsweng,Ntlhatsamaiswa,Irejista yemininingwane yetekuphatsa,Thundu yo redzhisiṱariwaho / Tshiteṅwa tsho redzhisiṱariwaho,Swilo leswi tsarisiweke
Administrasierekord,                Social conditions / Personal services                    ,Collection of administrative information for an administered item.,Administration record,Ukubuthelelwa kwelwazi lezokuphatha,uvimba weenkcukacha zolawulo,Ulwazi olugciniwe,Rekhote ya taolo,Rekoto ya tsamaiso,Rekototsamaiso,Lirekhodi lelwatiso lwetekuphatsa,Rekhodo ya zwo redzhisiṱariwaho,Rhekhodo ya mafambiselo
Administratiewe plan,                Social conditions / Personal services                    ,The set of units and data derived from an administrative source.,Administrative data,Idatha yezokuphatha / Imininingwana yezokuphatha,iinkcukacha ezidinjazwe kuvimba weenkcukacha zolawulo,Imininingwane yokuphatha,Tshedimošo / Data ya taolo,Dintlha tsa tsamaiso,Tshedimosetsotsamaiso / Dathatsamaiso / Dinewatsamaiso,Idatha yemininingwane yetekuphatsa,Data i re kha redzhisiṱara,Mahungu ya mafambiselo
Administratiewe bron,                Social conditions / Personal services                    ,A data holding containing information collected and maintained for the purpose of implementing one or more administrative regulations.,Administrative source,Umthombo wezokuphatha,"uvimba wolwazi wezinto eseziqokelelelwe ukusetyenzwa, umthombo wolawulo
",Isilulu solwazi lokuphatha,Mothopo wa taolo,Mohlodi wa tsamaiso,Motsweditsamaiso,Umnyombo / Umtfombowemininingwane yetekuphatsa,Redzhisiṱara,Xihlovo xa mafambiselo
Saamgestelde data,                Social conditions / Personal services                    ,The result of transforming unit level data into quantitative measures for a set of characteristics of a population.,Aggregated data,Idatha / Imininingwana epheleleko,iinkcukacha ezihlelweyo edityanisiweyo,Imininingwane edidiyelwe,Palomoka ya tshedimošo / Data,Dintlha tse bokelletsweng,Dathatekanyetso / Dinewatekanyetso / Tshedimosetsotekanyetso,Idatha yesilinganiso semphumela welubalo,Data yo ṱanganyelwaho,Mahungunhlayoxikarhi
Basistydperk / Periode,                Social conditions / Personal services                    ,"The period of time used as the base of an index number, or to which a constant series refers.",Base period,Isikhathi esisisekelo senomborositjengisi,ixesha ekusekelwe kulo,Isikhathi okususelwa kuso,Nako ya motheo,Nako ya motheo wa papiso,Pakatheo,Sikhatsisisekelo,Tshifhinga tsha mutheo,Nkarhi wo sungula ku hlayela
Basisjaar,                Social conditions / Personal services                    ,See base period.,Base year,Isikhathi esisisekelo senomborositjengisi,unyaka ekusekelwe kuwo,Unyaka okususelwa kuwo,Ngwaga wa motheo,Selemo sa motheo sa papiso,Ngwagatheo,Umnyakasisekelo,Ṅwaha wa mutheo,Lembe ro sungula ku hlayela
Sydigheid,                Social conditions / Personal services                    ,"An effect which deprives a statistical result of representativeness by systematically distorting it, as distinct from a random error which may distort on any one occasion but balances out on the average.",Bias,Ukuthatha ihlangothi,ukuthatha icala,Ukugebela,Go tšea lehlakore,Leeme,Tseotlhakore / Tshekamelo / Ikabotlhakore,Kutsatsa luhlangotsi / Kuvuna luhlangotsi,U dzhia sia,Mboyamelotlhelo
Blokindeling,                Social conditions / Personal services                    ,"The procedure, during listing, whereby roads and streets in urban formal and some tribal areas are used to create the boundaries of blocks to ensure that the entire PSU is listed. Note: These blocks are listed sequentially, ensuring that corner houses / structures are not erroneously omitted or duplicated.",Blocking,Ukutshwaya / Ukubekisa,ukucanda,Ukuklama,Go thala mollwane,Qholo / Ho seha moedi,Go parega,Kujuba iminyele / Kugwema kusalela ngaphandle elubalweni,U ita dzibuḽoko/ mikano ya dzibuloko,Mpfalelo
Sensus,                Social conditions / Personal services                    ,"The total process of collecting, processing, analyzing and publishing or otherwise disseminating demographic, economic and social data pertaining to all persons in a country or in a well-defined part of a country at a specified time. See population census.",Census,Ibalopheleleko; isensasi,Ubalo-bantu,Ukubalwa kwabantu/ isensasi,Palobatho/mmalobatho,Palabatho,Palobatho,Lubalo,Mbalazwithu,Nhlayelo wa vanhu
Klassifikasie,                Social conditions / Personal services                    ,"A set of discrete, exhaustive and mutually exclusive categories that can be assigned to one or more variables or items.",Classification,Ihlelomakoro,Uhlelo,Ukwehlukanisa,Tlhopho,Tlhophiso,Karoganyo,Kuhlelembisa,Khethekanyo / nzudzanyo / mbekanyo,Ntlawahato
Klassifikasie van individuele verbruik volgens doel (KVIVVD),                Social conditions / Personal services                    ,International system of classification of goods and services based on individual consumption by purpose.,Classification of individual consumption according to purpose (COICOP),Ihlelomakoro lokusetjenziswa kokuthileko mumuntu ngamunye,ucalulo ngokweenjongo ezisetyenziselwa zona iinkonzo,Ukuhlelela ngokwezidingo zomuntu,Tlhophotšhomišo ka nepo,Tlhophiso ya ka bomong ya sepheo sa tshebediso,Tlhaolotirisonosi ka lebaka,"Luhlelembiso lwemhlabawonkhe ngekwenhloso yesilinganiso setisetjentiswa kumuntfu ngamunye
",Khethekanyo ya tshumiso hu na ndivho,Ntlawahato wa mutirhisi ku ya hi xikongomelo
"Klassifikasie, standaard- [standaardklassifikasie]",                Social conditions / Personal services                    ,"Classification that follows prescribed rules and is generally recommended and accepted. Note: Standard classifications aim to ensure that information is classified consistently regardless of the collection, source, point of time, etc.","Classification, standard",Ivumelwanofaniso yehlelomakoro,"Uhlelo, umgangatho",Ukwehlukanisa okumisiwe,Tlhopho ye e garafaditšwego,"Tlhophiso, boemo",Motheo wa karoganyo,"Kuhlelembisa, lizinga",Khethekanyo- / nzudzanyo- / mbekanyokwayo,"Ntlawahato, wo ringanerisiwa"
Klassifikasiestelsel,                Social conditions / Personal services                    ,Arrangement or division of objects into groups based on characteristics which the objects have in common.,Classification system,Irherho lehlelomakoro,"inkqubo yocalulo, indlela yokwahlula ngokweemfano-mpawu/ngokokufana kweempawu
",Ukuhlela ngononina,Tsela ya tlhopho,Tshebetso ya tlhophiso,Thulaganyotlhaolo,Luhlelembiso ngekufanana kwetintfo,Sisṱeme ya kukhethekanyele,Sisiteme ya ntlawahato
Klassifikasie-eenheid,                Social conditions / Personal services                    ,The basic unit to be classified in the classification.,Classification unit,Iyunithi lehlelomakoro / Yehlelomakoro,omakucalulwe,Isihlelelwa,Yuniti ya tlhopho,Yuniti ya tlhophiso,Yunititlhaolo / Lekalatlhaolo,Lokulungelwe kufakwa eluhlelembisweni,Yuniti ya kukhethekanyele / Nyoga ya kukhethekanyele,Xiphemu xa ntlawahato
Klassifikasieweergawe,                Social conditions / Personal services                    ,List of mutually exclusive categories representing the version-specific values of the classification variable.,Classification version,Umhlobo wehlelomakoro,"ucalulo lweenkcukacha, indlela yokwahlula uluhlu ngokulandelelana",Uhlobo lokuhlela ngononina,Phapano ya tlhopho,Mofuta wa tlhophiso,Tebotlhaolo,Luhlelembiso ngekwetinhlobonhlobo,Kukhethekanyele nga zwigwada,Mbonelo wa ntlawahato
Trossteekproefneming,                Social conditions / Personal services                    ,Sampling method where the elements are drawn in groups often based on proximity. This overcomes the constraints of costs and time associated with a much-dispersed population.,Cluster sampling,Ukukhethwa /ukusampulwa /ukudzujulwa kwebuthelelo,Uvandlakanyo lwendibanisela,Ukuhlola ngokwamaqoqo,Dihlopšhatsopolwa,Kgetho ka dihlopha,Tseosekao ka ditlhopha,Kusampula kwalokuhlalelene,Tshigwada-/nanguludzwa / topolwa,Ku sampula hi xikatsa
Kode,                Social conditions / Personal services                    ,"A language-independent set of letters, numbers or symbols that represent a concept whose meaning is described in a natural language.",Code,Umtlolofihlo,ikhowudi,Isimelalwazi / Ikhodi,Khoutu,Khoutu,Khoudo,Ikhodi,Khoudu,Khodi
Kodelys,                Social conditions / Personal services                    ,A predefined list from which some statistical coded concepts take their values.,Code list,Irhelo lomtlolofihlo,uluhlu lwekhowudi,Uhlu lwezimelalwazi / Uhlu lwamakhodi,Lenaneo la dikhoutu,Lenane la dikhoutu,Lenaneokhoudo,Luhla / Luhlu lwemakhodi,Mutevhe wa dzikhoudu / Mutevhe wa khoudu,Nongonoko wa tikhodi
Kodering,                Social conditions / Personal services                    ,"The process of converting verbal or textual information into codes representing classes within a classification scheme, to facilitate data processing, storage or dissemination.",Coding,Ukutlola ngokomtlolofihlo,ukwakhiwa kwekhowudi,Inqubo yokubekisa / Yokumelelisa,Go khouta,Ho fetolela khoutung,Go khouda,Kufaka emakhodi,U nea khoudu / U khouda,Makhodelo
Koderingsfout,                Social conditions / Personal services                    ,The assignment of an incorrect code to a data item.,Coding error,Umtjhapho wokutlola ngokomtlolofihlo,ukufakwa kwekhowudi engeyiyo,Ukuphambeka ekumeleliseni / Ekubekiseni,Phošo ya go khouta,Phoso khoutung,Phoso ya go khouda,Liphutsa lekufakwa kwemakhodi,U nea khoudu yo khakheaho,Xihoxo xa makhodelo
Koherensie,                Social conditions / Personal services                    ,Adequacy of statistics to be combined in different ways and for various uses.,Coherence,Ukukhambelana,ukuhambisana / ungqinelwano,Ukuhambisana,Tsenelano,Momahano,Kgotlagano / Kitlano / Momagano / Tomagano,Kuvumelana / Kuhlangana / Kuhambisana,U tshimbilelana,Mfambelano
Koue toerekening,                Social conditions / Personal services                    ,The imputation technique used during data editing where missing or inconsistent values are calculated or derived from other information about the household or person. Synonym logical imputation. See hot deck.,Cold deck,Ukulungiswa kwemininingwana / kwedatha ngokukhibelela,Ukuvala izikhewu ngolwazi lwangaphambili,Ukuthathela/ukususela kokudala,Mokgwatlaleletšo wa tshedimošo ka tshedimošo ya pele/kholoteke,Tlhakisetso ya pele,Mokgwatlaleletso,Kugcwalisa ngemininingwane leniketiwe,Vhudzhenisatshiteṅwa khumbulelwa / kholodeke,Ngheniso wa switiviwa/datara / hi vutivi bya khale
Versameling,                Social conditions / Personal services                    ,See data collection.,Collection,Ukubuthelelwa kwedatha / Ukubuthelelwa kwemininingwana,ingqokelela,Ukuqoqa,Kgoboketšo,Pokello,Kokoanyo,Kugcogcwa kwemininingwane,U kuvhanganya,Nhlengeleto
Vergelykbaarheid,                Social conditions / Personal services                    ,The extent to which differences between statistics can be attributed to differences between the true values of the statistical characteristics.,Comparability,Ukumadaniseka,nokuthelekiseka,Ukuqhathaniseka,Papetšego,Ho bapisa / Papiso,Tshwantshanyo,Kuchatsaniseka,Vhuvhambedzi (ha tshitatisitika),Mpimaniseko
Volledigheid,                Social conditions / Personal services                    ,See relevance.,Completeness,Ukuphelela,imfezeko / ingqibelelo / okugqityiweyo,Ukufezekisa,Phethego,Phethahalo,Botlalo / Bojotlhe / Feletseng / Bogotlhe,Kuphelela,U fhelela,Hetiseko
Regstelling,                Social conditions / Personal services                    ,A process of rectifying characters manually according to predefined rules. It is done on unrecognised data received from the tiling process. Note: Completion is carried out on all alpha characters and numeric characters to improve coding accuracy.,Completion,Ukuqedelela,inzalisekiso / ingqibeleliso / ukugqiba,Ukufeza,Phetšo,Ho phethela,Pheleletso,Kucedzela,U fhedza / U lulamisa (ha siṱatisitika),Ku heta
Konsep / Begrip,                Social conditions / Personal services                    ,A unit of knowledge created by a unique combination of characteristics.,Concept,Umqondo,ingqiqo,Umqondo,Kgopolo,Mohopolo,Kgopolo,Umcondvo / Sicondvo,Khontseputi,Nongoti
Konseptuele gebied,                Social conditions / Personal services                    ,Concept that expresses its valid instance meanings or description.,Conceptual domain,Umkhakha wemiqondo,inkalo yengqiqo,Umqondo ophelela,Lekala la kgopolo,Tikoloho ya mohopolo,Lekalakgopolo,Inshokutsi yemcondvo,Domeini ya khontseputi/ṱhalutshedzo ya mahumbulwa,Xiyenge xa maanakanyelo
Vertroulikheid,                Social conditions / Personal services                    ,A property of data indicating the extent to which their unauthorised disclosure could be prejudicial or harmful to the interest of the source or other relevant parties.,Confidentiality,Ubufihlo,imfihlo,Ubumfihlo,Sephiri / Lekunutu / Thopa,Lekunutu / Sephiri,Bokhupamarama / Bophiri / Bopipanapipe,Kugcinwa kwedatha leyimfihlo,Tshidzumbe / Tshiphiri,Vuhundla
Konsekwentheid,                Social conditions / Personal services                    ,Logical and numerical coherence.,Consistency,Ukungatjhuguluki,ukungaguquguquki / ungqinelwano,Inhlalakunjano / Ukungaguquguquki,Go se fetoge,Ho tsitsa / Botsitso,Tlhomamo / Nitamo,Kungagucugucuki,Ndunzhendunzhe,Vukalancincancinco
Konsolidasie / Samesmelting,                Social conditions / Personal services                    ,"The process that takes data from different systems, entities (and possibly formats) and combines that information to create a unified view.",Consolidation,Ukuhlanganisa,"ukudibanisa ngenjongo yokwenza iinkcukacha ezibuya kwiindawo-ngeendawo zihambiselane
",Ukudidiyela,Kopantšho,Ho kgobokanya,Popaganyo / Tomaganyo,Kuhlanganisa idatha,Ṱhanganyo,Mahlanganiselo
Inhoudverifikasie,                Social conditions / Personal services                    ,A process of determining and verifying the contents of a questionnaire box.,Content re- verification,Ukuqinisekisa kokumumethweko,ukuqinisekiswa kokuqulethweyo,Impindakuqinisekiswa kokuqukethwe,Netefatšoleswa ya diteng,Tiiso ya dikahare,Tlhomamisogape ya diteng / Tlhomamisopoeletso ya diteng,Kucinisekiswa kabusha kwemininingwane,Khwaṱhisedzo hafhu ya zwi re nga ngomu,Matiyisiselo hi vuntshwa ya vundzeni
Konteks,                Social conditions / Personal services                    ,"Circumstance, purpose, and perspective under which an object is defined or used.",Context,Ubujamo,imeko / isimo,Ingqikithi,Tlhalošo go ya ka tšhomišo,Moelelo,Bokao / Maemo,Simo intfo lesetjentiswa kuso / Ingcikitsi,Vhudzivha / Nyimele,Xiyimo
Dekking,                Social conditions / Personal services                    ,The definition of the population that statistics aim to cover.,Coverage,Ihlanganiso,emakuqukwe / okuzakungeniswa elubalweni,Okuzobalwa / okubalwayo,Kakaretšo,Kakaretso,Kanamo / Kakaretso,Bungako belinani lebantfu lokufanele babalwe,Nyangaredzo,Xivandla
Dekkingsfout,                Social conditions / Personal services                    ,"Error caused by a failure to adequately cover all components of the population being studied, which results in differences between the target population and the sampling frame.",Coverage error,Umtjhapho wehlanganiso,impazamo kubalo / ukushiyelela / ukungaquki konke,Iphutha kubalwa,Phošo ya kakaretšo,Phoso kakaretsong,Phosokanamo / Phosokakaretso,Liphutsa lekungatfoli linani lebantfu lelihlosiwe,Vhukhakhi ha nyangaredzo,Xihoxo xo hlayela
Data,                Social conditions / Personal services                    ,"A representation of facts, concepts, or instructions in a formal manner, suitable for communication, interpretation, or processing by humans or by automatic means.",Data,Imininingwana; idatha,Iinkcukacha,Imininingo,Dintlhakgoboketšwa/teitha,Dintlha,Dinewa; dintlha,Idatha / imininingwane,Zwidodombedzwa / data,Switiviwa/datara
Datavertroulikheid,                Social conditions / Personal services                    ,"A property of data, usually resulting from legislative measures, which prevents it from unauthorised disclosure.",Data confidentiality,Ubuntumba bemininingwana/bedatha,Inkcukacha eyimfihlelo,Imfihlo ngemininingo,Sephiri sa dintlhakgoboketšwa/teitha,Sephiri ka dintlha,"Bophiri ba dinewa, bophiri ba dintlha",Kufihleka kwedatha,Zwidodombedzwa- / datatshiphiri,Vuhundla bya switiviwa/datara
Dataredigering,                Social conditions / Personal services                    ,"Activity aimed at detecting and correcting errors, logical inconsistencies and suspicious data.",Data editing,Ukutsengwa kwemininingwana/ kwedatha,Ukuhlelwa kwenkcukacha,Ukuhlela imininingo,Thulaganyo /tlhokolo ya dintlhakgoboketšwa/teitha,Tokiso ya dintlha,Tseleganyo ya dinewa/dintlha,Kulungisa idatha,Nzudzanyazwidombedzwa / ndzudzanyadata,Nhlelo wa switiviwa/datara
Data-element,                Social conditions / Personal services                    ,"A unit of data for which the definition, identification, representation and permissible values are specified by a set of attributes.",Data element,Ubunjalo bemininingwana /bedatha,Inxalenye yenkcukacha,Ingxenye yemininingo,Senoko sa/elemente ya- dintlhakgoboketšwa/teitha,Karolo ya dintlha,Karolo ya dinewa/dintlha,"Idatha yalokusetjentwa ngako, i-elementi yedatha",ṱhalusa-/zwidodombedzwa/data,Xiphemu xa switiviwa/datara
Data-item,                Social conditions / Personal services                    ,One occurrence of a data element.,Data item,i-ayithemu yemininingwana / yedatha,Umbandela wenkcukacha,Iphuzu/uhlamvu lomniningo/ lwedatha,Senokwana sa/hlogwana ya dintlhakgoboketšwa/teitha,Karolwana ya dintlha,Karolwana ya dinewa/dintlha,Sihlokwana sedatha,Tshiteṅwa tsha zwidodombedzwa / data,Xiringanisi xa switiviwa/ datara
Dataverwerking,                Social conditions / Personal services                    ,The operation performed on data in order to derive new information according to a given set of rules.,Data processing,Ukusetjenzwa kwemininingwana / Kwedatha,ukusetyenzwa kweenkcukacha / ukuqulunqwa kolwazi,Ukucutshungulwa kolwazi,Peakanyo ya data / Tshedimošo,Ho sebetsa dintlha,Tiragatsodatha / Tirisotshedimosetso / Tirisodinewa,Kuhlelwa kwedatha,U shuma data / U ṱhaṱhuvha data,Maendlelo ya mahungu
Data-uitruiling / Datadeling,                Social conditions / Personal services                    ,"Exchange of data and / or metadata in a situation involving the use of open, freely available data formats and where process patterns are known and standard.",Data sharing,Ukwabelana ngemininingwana / Ngedatha,ukwabelana ngeenkcukacha,Ukucobelelana ngolwazi,Kabelano ya data / Tshedimošo,Karolelano ya dintlha,"Dathakaroganyo / Dathakanaanyo / Tshedimosetsokanaanyo / Dinewakanaanyo
",Kushiyelana / Kwabelana ngedatha,U kovhana data,Avelano wa mahungu
Definisie,                Social conditions / Personal services                    ,A statement of the precise meaning of something within the context of intended use.,Definition,Ihlathululo,Inkcazo,Incazelo,Tlhalošo/tlhaloso,Tlhaloso,Tlhaloso,Inchazelo,ṱhalutshedzo / ningo / ṱhanḓavhudzo,Nhlamuselo
Bestedingsdagboek,                Social conditions / Personal services                    ,"A record with discrete entries arranged by date reporting on what has happened over the course of a defined period of time (e.g. diary of expenditure, diary of time use, etc.)",Diary of expenditure,Idayari yeendleko / Umalangeni weendleko,"iinkcukacha zokuhamba kwenkcitho, idayari yenkcitho",Isiqophazindleko / Ukuqoshwa kwezindleko,Pukutšatši ya ditshenyagalelo,Bukatsatsi ya ditshenyegelo,Bukatsatsi ya ditshenyegelo,Idayari yencitfomali,Dayari/rekhodo ya kushumisele kwa masheleni,Dayari ya matirhiselo
Verspreiding,                Social conditions / Personal services                    ,Distribution or transmission of statistical data to users.,Dissemination,Ukusabalalisa,ukuhambisa / ukusasaza,Ukusabalalisa,Phatlalatšo,Ho hasanya,Phatlalatso,Kusabalalisa,U phaḓaladza,Mahangalaselo
Dinamiese toerekening,                Social conditions / Personal services                    ,See hot deck.,Dynamic imputation,Ukulungiswa kwemininingwana / kwedatha ngokukhwezelela,Ukuvala izikhewu ngokuqikelela ngoko kukhoyo,Ukuselwa olwazini olusha ngokunamandla,Mokgwatlaleletšo wa tshedimošo ya bjale ya go fetogafetoga,Tlhakisetso ya jwale,Mokgwatlaleletso ka papiso,Kugcwalisa ngemininingwane lemisha,Vhudzhenisatshiteṅwa ndivhiswa,Ngheniso wa switiviwa/ datara ku ya hi vutivi byintshwa
Embargo,                Social conditions / Personal services                    ,The exact time at which the data can be made available to the public.,Embargo time,Isikhathi sokukhutjhwa,ixesha lokukhutshwa kolwazi,Isikhathi sokudedela ulwazi,Nako ya maleba ya phatlalatšo,Thibelo ya nako ya tsebiso,Nako ya phatlalatso,Sikhatsi ngco sekwetfulwa kwedatha yelubalo,Tshifhinga tshine data/mafhungo ate u tea divhadzwa ngatsho,Nkarhi wo tivisa mahungu
Opvolg,                Social conditions / Personal services                    ,A further attempt to obtain information because the initial attempt has failed or new information has become available.,Follow-up,Ilandelela,ukulandelela,Ukulandelela,Tatišišo / Tšhalomorago,Ho kgutlela / Ho sala morao,Tatediso,Kulandzelela,Vhutevheleli / U tevhelela,Nandzeleriso
Raamwerk,                Social conditions / Personal services                    ,"A list, map or other specification of the units which define a population to be completely enumerated or sampled.",Frame,Isakhelo,"isakhelo, isikhokelo, ubume/isizekelo/isizeko",Uhlaka,Foreimi,Moralo,Lenaneo / Thulaganyo,Luhlaka,Fureme / Muhanga,Rimba
Warm toerekening,                Social conditions / Personal services                    ,"The imputation technique used in data editing where the source for imputed values is constantly updated from valid response combinations encountered during processing, thus reflecting the reality of the households and persons most recently processed. Synonym: dynamic imputation. See cold deck.",Hot deck,Ukulungiswa kwemininingwana / kwedatha ngokukhwezelela,Ukuvala izikhewu ngokuqinisekisa ngoko kukhoyo,Ukuthathela/Ukususela olwazini olusha ngokunamandla,Mokgwatlaleletšo wa tshedimošo ya bjale/hothoteke,Tlhakisetso ya jwale,Mokgwatlaleletso ka papiso,Kugcwalisa ngemininingwane lemisha,Vhudzhenisatshiteṅwa ndivhiswa / hothodeke,Ngheniso wa switiviwa/datara ku ya hi vutivi byintshwa
Toerekening,                Social conditions / Personal services                    ,"The procedure of entering a value for a specific data item, where the response is missing or unusable.",Imputation,Ukulungiswa kwemininingwana,Uvalo-zikhewu,Ukususela/ ukucabangela,Mokgwatlaleletšo,Tlatseletso,Mokgwatlaleletso,Kugcwalisa ngekuhlawumbelisa,Vhudzhenisatshiteṅwa,Ngheniso wa switiviwa/datara
Inligting,                Social conditions / Personal services                    ,"Knowledge concerning any objects such as facts, events, things, processes or ideas including concepts that within a certain context have particular meanings.",Information,Ilwazi,"iinkcukacha, ulwazi",Ulwazi,Tshedimošo,Tlhahisoleseding / Tsebiso / Lesedi,Tshedimosetso / Datha / Dinewa,Imininingwane / Lwatiso,Ṋdivho / Mafhungo,Mahungu
"Onderhoud, direk [direkte onderhoud]",                Social conditions / Personal services                    ,The data collection process by which the fieldworker puts the questions on the questionnaire to the respondent and records the answers. See self-enumeration.,"Interview, direct",Ikulumiswanobonana,"Udliwano-ndlebe, ngqo",I-inthaviyu yabukhoma,Potšolodišothwii,"Boiteanyo, kotloloho",Potsolotso ka tlhamalalo,"Kukhulumisana, ngco / luhlololwati ngco",Mbudzisatswi,"Inthavhiyu, yo kongoma"
